,title,price,venue,category,month,day,time,location
0,A O Show,Từ 700.000 VND,Ho Chi Minh,Văn hóa nghệ thuật,Tháng 11,,,
1,Vietnam Youth Basketball League,Miễn phí,Ho Chi Minh,Khóa học,,,"Thứ 7, 26 Tháng 1 2019 - Thứ 7, 28 Tháng 12 2019 (10:00 AM - 11:00 AM)","ISHCMC School
28 Vo Truong Toan St., An Phu, Quận 2, Thành Phố Hồ Chí Minh"
2,Khóa Học Phong Cách Sống - Happy Mind. Happy Life (Monthly Opening),Từ 2.200.000 VND,Ho Chi Minh,Hội thảo,Tháng 12,01                                      Chủ nhật,"Chủ nhật, 01 Tháng 12 2019 - Thứ 3, 31 Tháng 12 2019 (07:00 AM - 10:00 PM)","Yoga Plus
Lầu 3 Thảo Điền Pearl - 12 Quốc Hương, Quận 2, Thành Phố Hồ Chí Minh"
3,KHÓA HỌC KINH DOANH HORECA (Monthly Opening),Từ 2.200.000 VND,Ho Chi Minh,Khóa học,Tháng 12,02                                      Thứ 2,"Thứ 2, 02 Tháng 12 2019 - Thứ 3, 03 Tháng 12 2019 (03:00 PM - 06:00 PM)","VINHOMES GOLDEN RIVER - THE LUXURY 6 (LUX 6)
Level 4, Room 9, 02 Tôn Đức Thắng St., Bến Nghé Ward, Quận 1, Thành Phố Hồ Chí Minh"
4,KHÓA HỌC TIẾP THỊ: CHIẾN LƯỢC TRUYỀN THÔNG (Monthly Opening),Từ 2.200.000 VND,Ho Chi Minh,Hội thảo,Tháng 12,,"Thứ 2, 09 Tháng 12 2019 - Thứ 3, 10 Tháng 12 2019 (03:00 PM - 06:00 PM)","VINHOMES GOLDEN RIVER - THE LUXURY 6 ( LUX6 )
Level 4, Room 9, 02 Tôn Đức Thắng Street, Bến Nghé Ward, Quận 1, Thành Phố Hồ Chí Minh"
5,KHÓA HỌC QUẢN TRỊ: WOMEN LEADERSHIP (Monthly Opening),Từ 2.200.000 VND,Ho Chi Minh,Hội thảo,Tháng 11,,"Thứ 2, 18 Tháng 11 2019 - Thứ 3, 19 Tháng 11 2019 (03:00 PM - 06:00 PM)","VINHOMES GOLDEN RIVER - THE LUXURY 6 ( LUX 6 )
Level 4, Room 9, 02 Tôn Đức Thắng Street, Bến Nghé Ward, Quận 1, Thành Phố Hồ Chí Minh"
6,KHÓA HỌC ĐẦU TƯ: ĐẦU TƯ XANH (Monthly Opening),Từ 2.200.000 VND,Ho Chi Minh,Hội thảo,Tháng 11,,"Thứ 2, 25 Tháng 11 2019 - Thứ 3, 26 Tháng 11 2019 (03:00 PM - 06:00 AM)","VINHOMES GOLDEN RIVER - THE LUXURY 6 ( LUX 6 )
Level 4, Room 9, 02 tôn Đức Thắng Street, Bến Nghé Ward, Quận 1, Thành Phố Hồ Chí Minh"
7,KHÓA HỌC KINH DOANH: RETAIL (Monthly Opening),Từ 2.200.000 VND,Ho Chi Minh,Hội thảo,Tháng 12,04                                      Thứ 4,"Thứ 4, 04 Tháng 12 2019 - Thứ 5, 05 Tháng 12 2019 (03:00 PM - 06:00 PM)","VINHOMES GOLDEN RIVER - THE LUXURY 6 (LUX 6)
Level 4, Room 9, 02 Tôn Đức Thắng Street. Bến Nghé Ward, Quận 1, Thành Phố Hồ Chí Minh"
8,KHÓA HỌC TIẾP THỊ: DIGITAL MARKETING (Monthly Opening),Từ 2.200.000 VND,Ho Chi Minh,Hội thảo,Tháng 12,,"Thứ 4, 11 Tháng 12 2019 - Thứ 5, 12 Tháng 12 2019 (03:00 PM - 06:00 PM)","VINHOMES GOLDEN RIVER
Level 4, Room 9, 02 Tôn Đức Thắng Street, Bến Nghé Ward, Quận 1, Thành Phố Hồ Chí Minh"
9,BUSINESS SUMMIT - Trực Tiếp Cùng Blair Singer - Vua Bán Hàng Thế Giới,Từ 0 VND,Ho Chi Minh,Hội thảo,Tháng 12,11                                      Thứ 4,"Thứ 4, 11 Tháng 12 2019 - Thứ 5, 12 Tháng 12 2019 (08:00 AM - 06:00 PM)","Hồ Chí Minh
Trung Tâm Hội Nghị Capella Parkview Số 3 Đặng Văn Sâm, P.9, Phú Nhuận, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
10,The World Of Heineken,Miễn phí,Ho Chi Minh,Hội họp,,,,
11,AiHR: Digital HR Planning Conference,Từ 3.500.000 VND,Ho Chi Minh,Hội thảo,Tháng 11,20                                      Thứ 4,08:00 AM - 12:00 PM,"Sheraton Sài Gòn
88 Đồng Khởi, Bến Nghé, Quận 1, Hồ Chí Minh, Quận 1, Thành Phố Hồ Chí Minh"
12,Saigon Skydeck - Bitexco,Từ 130.000 VND,Ho Chi Minh,Nightlife,Tháng 11,,,
13,NICK VUJICIC VỀ VIỆT NAM 2019,Từ 349.500 VND,Ho Chi Minh,Hội thảo,Tháng 12,12                                      Thứ 5,"Thứ 5, 12 Tháng 12 2019 - Thứ 6, 13 Tháng 12 2019 (08:00 AM - 09:00 PM)","Hội Trường The Adora
371 Nguyễn Kiệm, Quận Gò Vấp, Thành Phố Hồ Chí Minh"
14,HỘI NGHỊ SPA THẨM MỸ ĐỈNH CAO 2019,Từ 800.000 VND,Ho Chi Minh,Hội thảo,Tháng 11,17                                      Chủ nhật,07:30 AM - 09:00 PM,"THE ADORA CENTER
431 Hoàng Văn Thụ, Quận Tân Bình, Thành Phố Hồ Chí Minh"
