,title,price,venue,category,month,day,time,location
15,Sights & Sounds: Psychedelia,Từ 80.000 VND,Ho Chi Minh,Văn hóa nghệ thuật,Tháng 11,22                                      Thứ 6,06:00 PM - 10:00 PM,"the hive Villa
29 Nguyễn Bá Lân, Thảo Điền, Quận 2, Thành Phố Hồ Chí Minh"
16,Khóa học Ứng dụng VBA & Macro trong Excel,Từ 1.100.000 VND,Ho Chi Minh,Khóa học,Tháng 11,24                                      Chủ nhật,"Chủ nhật, 24 Tháng 11 2019 - Chủ nhật, 08 Tháng 12 2019 (01:30 PM - 04:00 PM)","Trung tâm tư vấn và đào tạo UniTrain
Lầu 4, tòa nhà Thiên Sơn, 5 Nguyễn Gia Thiều, Phường 6, Quận 3, Thành Phố Hồ Chí Minh"
17,Khóa học Ứng dụng Excel trong xử lý dữ liệu,Từ 1.000.000 VND,Ho Chi Minh,Khóa học,Tháng 11,24                                      Chủ nhật,"Chủ nhật, 24 Tháng 11 2019 - Chủ nhật, 08 Tháng 12 2019 (09:00 AM - 11:30 AM)","Trung tâm tư vấn và đào tạo UniTrain
Địa chỉ: Lầu 4, tòa nhà Thiên Sơn, 5 Nguyễn Gia Thiều, Phường 6, Quận 3, Thành Phố Hồ Chí Minh"
18,CHẠY VÌ TRÁI TIM / RUN FOR THE HEART 2019,Từ 100.000 VND,Ho Chi Minh,Thể thao,Tháng 11,24                                      Chủ nhật,06:00 AM - 11:00 AM,"KHU ĐÔ THỊ CELADON CITY
68 Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Thành Phố Hồ Chí Minh"
19,Pocari Sweat Run 2019,Từ 490.000 VND,Ho Chi Minh,Thể thao,Tháng 11,17                                      Chủ nhật,05:00 AM - 11:00 AM,"Khu Đô Thị Sala
10 Mai Chí Thọ, Khu Đô Thị Mới Thủ Thiêm, Quận 2, Thành Phố Hồ Chí Minh"
20,TEMPT,Từ 1.500.000 VND,Ho Chi Minh,Nhạc sống,Tháng 12,22                                      Chủ nhật,05:00 PM - 09:00 PM,"Nhà hát VOH Music One
37 Nguyễn Bỉnh Khiêm, Quận 1, Thành Phố Hồ Chí Minh"
21,Open Air Cinema Club: Dead Poets Society,Từ 80.000 VND,Ho Chi Minh,Văn hóa nghệ thuật,Tháng 11,21                                      Thứ 5,07:00 PM - 10:30 PM,"the Hive Thao Dien
94 Xuân Thủy, Thao Dien, Quận 2, Thành Phố Hồ Chí Minh"
22,Consumer choices: Where behavioural economics meets marketing 15th November 2019,Từ 1.600.000 VND,Ho Chi Minh,Hội thảo,Tháng 11,15                                      Thứ 6,08:30 AM - 12:00 PM,"Dreamplex
195 Điện Biên Phủ, Phường 15,, Quận Bình Thạnh, Thành Phố Hồ Chí Minh"
23,JCCH CHARITY MARATHON 2019,Từ 200.000 VND,Ho Chi Minh,Thể thao,Tháng 12,01                                      Chủ nhật,05:00 AM - 12:00 PM,"Trường học Nhật Bản - Khu Đô Thị Phú Mỹ Hưng
KĐT Nam Sài Gòn, Lô M9, Quận 7, Thành Phố Hồ Chí Minh"
24,Constellations,Từ 300.000 VND,Hồ Chí Minh,Sân khấu,Tháng 11,,07:30 PM - 09:00 PM,"Nhà Tiên
204B/1 Nguyễn Văn Hưởng, Thảo Điền, Quận 2, Thành Phố Hồ Chí Minh"
25,Trăm Nhớ Ngàn Thương,Từ 300.000 VND,Hồ Chí Minh,Nhạc sống,Tháng 12,07                                      Thứ 7,08:00 PM - 11:00 PM,"Nhà Hát Hoà Bình
240 Đường 3 Tháng 2, Phường 12, Quận 10, Thành Phố Hồ Chí Minh"
26,Vở múa METHOD - Contemporary Performance by H2Q ART,Từ 150.000 VND,Hồ Chí Minh,Văn hóa nghệ thuật,Tháng 12,,08:00 PM - 10:00 PM,"Nhà hát Quân đội
 140 Cộng Hòa, Phường 4, Quận Tân Bình, Thành Phố Hồ Chí Minh"
27,BÍ QUYẾT VẬN DỤNG SỨC MẠNH DIGITAL ĐỂ THÚC ĐẨY KINH DOANH MÙA TẾT,Miễn phí,Hồ Chí Minh,Hội thảo,Tháng 11,16                                      Thứ 7,08:45 AM - 12:00 PM,"AIM Academy
146bis Nguyễn Văn Thủ, Đa Kao, Quận 1, Thành Phố Hồ Chí Minh"
28,Bước tiến trong phát triển cộng đồng tại Việt Nam - Transformation of Community Development in Vietnam,Từ 150.000 VND,Hồ Chí Minh,Hội thảo,Tháng 11,21                                      Thứ 5,08:00 AM - 12:00 PM,"Kafnu Co-working Space
92A Nguyễn Hữu Cảnh, Ward 22, Binh Thanh District , Quận Bình Thạnh, Thành Phố Hồ Chí Minh"
29,VŨ ĐIỆU NHỮNG CHIẾN BINH TRONG THÀNH PHỐ / DANSE DES GUERRIERS DE LA VILLE / Compagnie par terre / Anne Nguyen,Từ 100.000 VND,Hồ Chí Minh,Hội chợ,Tháng 11,,03:00 PM - 03:45 PM,"Bảo tàng Mỹ thuật TPHCM / Musée des Beaux-Arts
97A Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1, Thành Phố Hồ Chí Minh"
30,Đêm nhạc: Gã lang thang ngồi hát tình tang,Từ 169.000 VND,Hồ Chí Minh,Nhạc sống,Tháng 11,23                                      Thứ 7,08:00 PM - 10:00 PM,"CAFE SI THĂNG
208 Huỳnh Văn Bánh, phường 12, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
31,Mini show Trí Hát - Portrait,Từ 350.000 VND,Hồ Chí Minh,Nhạc sống,Tháng 11,16                                      Thứ 7,06:45 PM - 09:00 PM,"Dolphy Café
113 Dương Văn An, An Phú, Quận 2, Thành Phố Hồ Chí Minh"
32,Business analysis for Banking,Từ 3.900.000 VND,Hồ Chí Minh,Hội thảo,Tháng 3,08                                      Chủ nhật,06:30 PM - 09:30 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
33,Tableau Ứng Dụng BI Trong Doanh Nghiệp,Từ 2.800.000 VND,Hồ Chí Minh,Hội thảo,Tháng 11,16                                      Thứ 7,09:00 AM - 04:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
34,SCRUM FRAMEWORK IN PRACTICE,Từ 2.600.000 VND,Hồ Chí Minh,Hội thảo,Tháng 3,07                                      Thứ 7,09:00 AM - 04:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
35,Chuyên Gia Ứng Dụng Agile,Từ 7.700.000 VND,Hồ Chí Minh,Hội thảo,Tháng 3,07                                      Thứ 7,09:00 AM - 04:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
36,Khóa Học Power BI,Từ 9.900.000 VND,Hồ Chí Minh,Hội thảo,Tháng 2,05                                      Thứ 4,06:30 PM - 09:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
37,Ước Lượng Phần Mềm,Từ 5.400.000 VND,Hồ Chí Minh,Hội thảo,Tháng 3,07                                      Thứ 7,09:00 AM - 04:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
38,Quản trị quy trình nghiệp vụ,Từ 9.100.000 VND,Hồ Chí Minh,Hội thảo,Tháng 4,02                                      Thứ 5,06:30 PM - 09:30 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
39,BA và PM Phối Hợp Hoàn Thiện,Từ 8.900.000 VND,Hồ Chí Minh,Hội thảo,Tháng 4,08                                      Thứ 4,06:30 PM - 09:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
40,"Hoạch định chiến lược, tư vấn triển khai ERP",Từ 20.100.000 VND,Hồ Chí Minh,Hội thảo,Tháng 4,01                                      Thứ 4,06:30 PM - 09:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
41,PRO SALESMAN - NGƯỜI BÁN HÀNG TUYỆT VỜI,Từ 1.700.000 VND,Hồ Chí Minh,Hội thảo,Tháng 4,04                                      Thứ 7,09:00 AM - 04:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
42,Phong thủy & Nhân tướng học ứng dụng trong Quản trị Nhân sự,Từ 1.800.000 VND,Hồ Chí Minh,Hội thảo,Tháng 4,04                                      Thứ 7,09:00 AM - 04:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
43,Nhận Thức An Toàn An Ninh Thông Tin,Từ 800.000 VND,Hồ Chí Minh,Hội thảo,Tháng 7,05                                      Chủ nhật,09:00 AM - 12:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
44,Hiểu về UX,Từ 5.100.000 VND,Hồ Chí Minh,Hội thảo,Tháng 4,02                                      Thứ 5,06:30 PM - 09:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
45,ỨNG DỤNG BPMN CHO BA,Từ 5.900.000 VND,Hồ Chí Minh,Hội thảo,Tháng 3,02                                      Thứ 2,06:00 PM - 09:00 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
46,Luyện Thi Chứng Chỉ PMI-PBA,Từ 5.900.000 VND,Hồ Chí Minh,Hội thảo,Tháng 3,04                                      Thứ 4,06:30 PM - 09:30 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
47,SCRUM MASTER TRONG DỰ ÁN - LUYỆN THI PSMI,Từ 5.800.000 VND,Hồ Chí Minh,Hội thảo,Tháng 3,04                                      Thứ 4,06:30 PM - 09:30 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
48,Ứng dụng Data Science & Machine Learning,Từ 15.800.000 VND,Hồ Chí Minh,Hội thảo,Tháng 5,04                                      Thứ 2,06:30 PM - 09:30 PM,"BAC
319 Ly Thuong Kiet Street, Quận 11, Thành Phố Hồ Chí Minh"
49,Nhạc kịch trinh thám “Ký ức ngày hôm qua”,Từ 450.000 VND,Hồ Chí Minh,Văn hóa nghệ thuật,Tháng 11,17                                      Chủ nhật,,
50,Đêm nhạc A Night of TCHAIKOVSKY,Từ 300.000 VND,Hồ Chí Minh,Văn hóa nghệ thuật,Tháng 11,30                                      Thứ 7,,
51,LẬP CHIẾN LƯỢC PR THỰC CHIẾN THEO TIÊU CHUẨN NHÀ HÀNH NGHỀ CHUYÊN NGHIỆP,Từ 4.300.000 VND,Hồ Chí Minh,Khóa học,Tháng 11,18                                      Thứ 2,"Thứ 2, 18 Tháng 11 2019 - Thứ 7, 30 Tháng 11 2019 (08:30 AM - 12:30 PM)","Toà nhà Itaxa
Lầu 3, Toà nhà Itaxa, 126 Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành Phố Hồ Chí Minh"
52,GAIA 'WE ARE ONE' | GAIA 'CHÚNG TA LÀ MỘT' - DANCE SHOW,Từ 800.000 VND,Hồ Chí Minh,Nhạc sống,Tháng 11,,08:00 PM - 09:30 PM,"GBOX Studio
Số 4, Bàu Cát 4, Quận Tân Bình, Thành Phố Hồ Chí Minh"
53,CHÌA KHOÁ PHONG THUỶ DOANH NGHIỆP,Miễn phí,Hồ Chí Minh,Hội thảo,Tháng 11,15                                      Thứ 6,06:30 PM - 09:30 PM,"NARA COFFEE
305 PHAN ĐÌNH PHÙNG, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
54,ABL 10 - Saigon Heat 2019,Từ 637.000 VND,Hồ Chí Minh,Thể thao,Tháng 1,03                                      Thứ 6,"Thứ 6, 03 Tháng 1 2020 - Thứ 4, 25 Tháng 3 2020 (07:00 PM - 09:00 PM)","CIS Arena
No. 86, Street 23, Tan Phu Ward, Quận 7, Thành Phố Hồ Chí Minh"
55,"[HCM] Chương trình “MBA & MASTER COFFEE CHAT” từ trường MIP (Milan, Italy) - Trường TOP 2 của Châu  Âu.",Miễn phí,Hồ Chí Minh,Hội thảo,Tháng 11,23                                      Thứ 7,02:00 PM - 05:00 PM,"Khách sạn Kim Đô
133 Nguyễn Huệ, Quận 1, Thành Phố Hồ Chí Minh"
56,TEDxĐaKao: Human Kind | 23rd November 2019,Từ 399.000 VND,Hồ Chí Minh,Hội thảo,Tháng 11,23                                      Thứ 7,09:00 AM - 12:00 PM,"IDECAF Theater/ Institut d'Échanges Culturels avec la France
28 Lê Thánh Tôn, Quận 1, Thành Phố Hồ Chí Minh"
57,Concert: Haydn to Beethoven #2,Từ 200.000 VND,Hồ Chí Minh,Nhạc sống,Tháng 11,23                                      Thứ 7,06:30 PM - 08:30 PM,"Salon Saigon
6D Ngo Thoi Nhiem, Quận 3, Thành Phố Hồ Chí Minh"
58,"Cine-Concert: ""Crossing Fences""",Từ 100.000 VND,Hồ Chí Minh,Nhạc sống,Tháng 11,16                                      Thứ 7,08:00 PM - 09:30 PM,"Salon Saigon
6D Ngo Thoi Nhiem, Quận 3, Thành Phố Hồ Chí Minh"
59,QUẢN LÝ TÀI CHÍNH VÀ ĐÀU TƯ DÒNG TIỀN HIỆU QUẢ,Miễn phí,Hồ Chí Minh,Hội thảo,Tháng 11,15                                      Thứ 6,06:30 PM - 09:30 PM,"GOLDEN TEA
78 HỒ VĂN HUÊ P9, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
60,Liquid Buffet,Từ 699.000 VND,Hồ Chí Minh,Nightlife,Tháng 12,24                                      Thứ 3,"Thứ 3, 24 Tháng 12 2019 - Thứ 3, 31 Tháng 12 2019 (06:00 PM - 10:00 PM)","Sảnh Gosset Rooftop - Capella Gallery Hall
24 đường 3/2, Quận 10, Thành Phố Hồ Chí Minh"
61,Startup Việt 2019 Gala Summit: Hành trình kỳ lân - Unicorn to be,Từ 300.000 VND,Hồ Chí Minh,Hội thảo,Tháng 12,02                                      Thứ 2,09:00 AM - 06:00 PM,"GEM Center
8 Nguyễn Bỉnh Khiêm, Đa Kao, Quận 1, Thành Phố Hồ Chí Minh"
62,Earth.org X The Hive Saigon: A Plastic Ocean | Outdoor Pool Screening,Từ 50.000 VND,Hồ Chí Minh,Sân khấu,Tháng 11,27                                      Thứ 4,07:00 PM - 09:00 PM,"The Hive Villa
29 Nguyễn Bá Lân, Thảo Điền, Quận 2, Hồ Chí Minh 713385, Quận 2, Thành Phố Hồ Chí Minh"
63,VƯỢT QUA NỖI SỢ,Miễn phí,Hồ Chí Minh,Khóa học,Tháng 11,17                                      Chủ nhật,02:30 PM - 05:30 PM,"Inner Space Tân Phú
75/2-4, Lý Thánh Tông, P.Tân Thới Hòa, Q. Tân Phú, TP. Hồ Chí Minh, Quận Tân Phú, Thành Phố Hồ Chí Minh"
64,CHỈ SỐ TÂM HỒN,Miễn phí,Hồ Chí Minh,Khóa học,Tháng 11,24                                      Chủ nhật,02:30 PM - 05:30 PM,"Trung tâm Inner Space trụ sở Bình Triệu
Số 30, đường số 7, Kp 1, F. Hiệp Bình Chánh, Quận Thủ Đức, Thành Phố Hồ Chí Minh"
65,Làm mới bản thân từ sai lầm,Miễn phí,Hồ Chí Minh,Khóa học,Tháng 11,30                                      Thứ 7,02:30 PM - 05:30 PM,"Trung tâm Inner Space trụ sở Bình Triệu
Số 30, đường số 7, Kp 1, F. Hiệp Bình Chánh, Quận Thủ Đức, Thành Phố Hồ Chí Minh"
66,Sự thông thái từ Tập Trung - Cô Trish Summerfield (Có phiên dịch tiếng Việt),Miễn phí,Hồ Chí Minh,Khóa học,Tháng 11,18                                      Thứ 2,06:30 PM - 08:00 PM,"Trung tâm Inner Space trụ sở Bình Triệu
Số 30, đường số 7, Kp 1, F. Hiệp Bình Chánh, Quận Thủ Đức, Thành Phố Hồ Chí Minh"
67,Indian Bengali Buffet,Từ 149.000 VND,Hồ Chí Minh,Hội chợ,Tháng 11,17                                      Chủ nhật,11:00 AM - 03:00 PM,"BENARAS Indian Restaurant & Lounge
5A Nguyễn Siêu, Bến Nghé, Quận 1, Hồ Chí Minh 700000, Quận 1, Thành Phố Hồ Chí Minh"
68,VBSession 2: When blockchain meets IoT & social media (Vietnam Blockchain Session),Từ 0 VND,Hồ Chí Minh,Hội thảo,Tháng 11,16                                      Thứ 7,01:30 PM - 05:30 PM,"Asiana Plaza
45-47 Phan Đăng Lưu, quận Bình Thạnh, Quận Bình Thạnh, Thành Phố Hồ Chí Minh"
69,YAMAHA Presents: RAVOLUTION MUSIC FESTIVAL | RAVO 3 YEARS,Từ 459.000 VND,Hồ Chí Minh,Nhạc sống,Tháng 12,08                                      Chủ nhật,,
70,Running Man Keep On,Từ 500.000 VND,Hồ Chí Minh,Hội họp,Tháng 12,01                                      Chủ nhật,06:30 PM - 08:30 PM,"Sala City
10 Đường Mai Chí Thọ, Thủ Thiêm, Quận 2, Thành Phố Hồ Chí Minh"
71,Awareness Cinema: Plastic Ocean x Earth.Org,Từ 50.000 VND,Hồ Chí Minh,Hội thảo,Tháng 11,27                                      Thứ 4,07:00 PM - 09:00 PM,"The Hive Villa
29 Nguyen Ba Lan, Thao Dien, Quận 2, Thành Phố Hồ Chí Minh"
72,Live Set – Lil Jon,Từ 500.000 VND,Hồ Chí Minh,Nightlife,Tháng 11,15                                      Thứ 6,"Thứ 6, 15 Tháng 11 2019 - Thứ 7, 16 Tháng 11 2019 (10:00 PM - 03:00 AM)","Envy Club
74-76 Nam Kỳ Khởi Nghĩa, Quận 1, Thành Phố Hồ Chí Minh"
73,ERCI Faculty Panel Discussion: Industry Insights,Miễn phí,Hồ Chí Minh,Hội thảo,Tháng 11,16                                      Thứ 7,09:00 AM - 12:00 PM,"ERC International
83 Ngô Thời Nhiệm, Phường 6, Quận 3, Thành Phố Hồ Chí Minh"
74,Hội Thảo Các Bệnh Lý Nội Tiết Thường Gặp,Miễn phí,Hồ Chí Minh,Hội thảo,Tháng 11,24                                      Chủ nhật,09:00 AM - 11:00 AM,"Phòng khám Victoria Healthcare
37-39 Lương Định Của, Phường Bình An, Quận 2, Thành Phố Hồ Chí Minh"
75,HCMC: Beaujolais Nouveau 2019,Từ 550.000 VND,Hồ Chí Minh,Nightlife,Tháng 11,21                                      Thứ 5,06:00 PM - 09:00 PM,"Mama Sens
53 nguyen dinh chieu, Quận 3, Thành Phố Hồ Chí Minh"
76,Workshop: SỨC MẠNH TRANG PHỤC,Từ 600.000 VND,Hồ Chí Minh,Khóa học,Tháng 11,16                                      Thứ 7,02:00 PM - 05:00 PM,"YK COFFEE
1A Nguyễn Thị Minh Khai, Quận 1, Thành Phố Hồ Chí Minh"
77,Workshop: KỸ NĂNG BÀN TIỆC (Dining Etiquette),Từ 1.000.000 VND,Hồ Chí Minh,Khóa học,Tháng 11,27                                      Thứ 4,06:30 PM - 09:00 PM,"Nhà hàng Vatel
120Bis Sương Nguyệt Ánh, Quận 1, Thành Phố Hồ Chí Minh"
78,Café Sách SG4: Tiểu thuyết lịch sử,Từ 80.000 VND,Hồ Chí Minh,Cộng đồng,Tháng 11,30                                      Thứ 7,04:00 PM - 06:00 PM,"Le Petit Roland
Lầu 2-3, 28/1 Ngô Văn Năm, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh"
79,Khóa học “Nhận quyền thông minh”,Từ 5.000.000 VND,Hồ Chí Minh,Khóa học,Tháng 11,29                                      Thứ 6,"Thứ 6, 29 Tháng 11 2019 - Chủ nhật, 01 Tháng 12 2019 (08:30 AM - 11:30 AM)","Trụ sở Công ty Cổ phần Red Franchise
43 Hoàng Sa, phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh"
80,DJ JNK (DJ Jay – MC Kay),Từ 400.000 VND,Hồ Chí Minh,Nightlife,Tháng 11,19                                      Thứ 3,"Thứ 3, 19 Tháng 11 2019 - Thứ 4, 20 Tháng 11 2019 (10:00 PM - 03:00 AM)","Envy Club
74-76 Nam Kỳ Khởi Nghĩa, Quận 1, Thành Phố Hồ Chí Minh"
81,Bumblefoot - Live in Saigon,Từ 300.000 VND,Hồ Chí Minh,Nhạc sống,Tháng 12,10                                      Thứ 3,07:30 PM - 11:30 PM,"Lela Saigon Bar
138 Lê Lai, Quận 1, Thành Phố Hồ Chí Minh"
82,Career Expo 2019,Miễn phí,Hồ Chí Minh,Hội thảo,Tháng 11,23                                      Thứ 7,08:30 AM - 12:00 PM,"VTC Academy TP.HCM
Tầng 2, The Emporium Tower, 184 Lê Đại Hành, P.15, Q.11, TP.HCM, Quận 11, Thành Phố Hồ Chí Minh"
83,6 NGÀY ĐI ĐẾN MỘT TÊN TUỔI CÁ NHÂN NỔI TIẾNG,Từ 4.880.000 VND,Hồ Chí Minh,Khóa học,Tháng 11,30                                      Thứ 7,08:30 AM - 07:00 PM,"Toà nhà Itaxa
Lầu 3, Toà nhà Itaxa, 126 Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành Phố Hồ Chí Minh"
84,HỘI THẢO DU HỌC ÚC CÙNG TRƯỜNG QUẢN LÝ KHÁCH SẠN WILLIAM BLUE,Miễn phí,Hồ Chí Minh,Hội thảo,Tháng 11,23                                      Thứ 7,09:00 AM - 12:00 PM,"Khách sạn Park Hyatt Saigon
2 Công Trường Lam Sơn, Quận 1, Thành Phố Hồ Chí Minh"
85,Embrace life to the fullest,Từ 990.000 VND,Hồ Chí Minh,Hội thảo,Tháng 11,22                                      Thứ 6,02:00 PM - 06:00 PM,"Kafnu
92A Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh, Quận Bình Thạnh, Thành Phố Hồ Chí Minh"
86,Pool Hangout | Beer & BBQ,Từ 50.000 VND,Hồ Chí Minh,Ngoài trời,Tháng 12,07                                      Thứ 7,12:00 PM - 05:30 PM,"The Hive Villa
29 Nguyen Ba Lan, Quận 2, Thành Phố Hồ Chí Minh"
87,MixMag Asia: Official Launch Party,Từ 500.000 VND,Hồ Chí Minh,Nightlife,Tháng 11,23                                      Thứ 7,"Thứ 7, 23 Tháng 11 2019 - Chủ nhật, 24 Tháng 11 2019 (08:00 PM - 02:00 AM)","Bam Bam
41-43 Nam Kỳ Khởi Nghĩa, Quận 1, Thành Phố Hồ Chí Minh"
88,Làng Tôi - Nhà Hát Lớn Hà Nội,Từ 700.000 VND,Ha Noi,Văn hóa nghệ thuật,Tháng 11,,,
