,title,price,venue,category,month,day,time,location
23,NGHỀ LÀM CHA MẸ,Miễn phí,Ho Chi Minh,Hội thảo,Tháng 1,04                                      Today,06:30 PM - 09:30 PM,"NARA COFFEE
305 PHAN ĐÌNH PHÙNG P15, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
24,Vở kịch MẢNH MÀU NÀO CHO NHAU?,Từ 129.000 VND,Hồ Chí Minh,Văn hóa nghệ thuật,Tháng 1,,08:00 PM - 09:30 PM,"Sân khấu Kịch Quốc Thảo - nhóm kịch Lục Đục
81 Trần Quốc Thảo, Phường 7, Quận 3, Hồ Chí Minh, Quận 3, Thành Phố Hồ Chí Minh"
25,Soirée Saigon: An Evening of Music and Poetry,Từ 100.000 VND,Hồ Chí Minh,Nhạc sống,Tháng 1,15                                      Thứ 4,07:00 PM - 09:00 PM,"Salon Saigon
6D Ngo Thoi Nhiem, Quận 3, Thành Phố Hồ Chí Minh"
26,Tech Awards 2019,Từ 199.000 VND,Hồ Chí Minh,Hội thảo,Tháng 1,08                                      Thứ 4,12:00 PM - 09:00 PM,"White Palace
194 Hoàng Văn Thụ, Phường 9, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
27,Workshop English Breakthrough - Kế hoạch đột phá học ngoại ngữ trong năm 2020,Miễn phí,Hồ Chí Minh,Hội thảo,Tháng 1,04                                      Today,06:30 PM - 09:30 PM,"Phòng 407
Tòa nhà Vietcombank, 79 Nguyễn Đình Chiểu, Quận 3, Thành Phố Hồ Chí Minh"
28,Frenchy Pur Sucre,Từ 220.000 VND,Hồ Chí Minh,Văn hóa nghệ thuật,Tháng 1,,07:00 PM - 08:15 PM,"Soma Art Lounge
6B Le Van Mien, Thao Dien, Quận 2, Thành Phố Hồ Chí Minh"
29,Awareness Cinema: The Game Changers,Từ 50.000 VND,Hồ Chí Minh,Cộng đồng,Tháng 1,16                                      Thứ 5,06:30 PM - 09:00 PM,"the Hive Villa
29 Nguyen Ba Lan, Thao Dien, Quận 2, Thành Phố Hồ Chí Minh"
30,WINNER [CROSS] TOUR IN HO CHI MINH,Từ 1.500.000 VND,Hồ Chí Minh,Nhạc sống,Tháng 2,01                                      Thứ 7,05:00 PM - Đến Tối muộn,"Saigon Exhibition and Convention Center (SECC)
799 Nguyễn Văn Linh, Tân Phú, Quận 7, Thành Phố Hồ Chí Minh"
31,Dancenter: A.T.O.D Dance Competition Performance - Tổng duyệt cuộc thi nhảy Quốc tế A.T.O.D,Từ 100.000 VND,Hồ Chí Minh,Sân khấu,Tháng 1,18                                      Thứ 7,06:00 PM - 08:00 PM,"AIS Vietnam Auditorium
264 Mai Chí Thọ, Phường An Phú, Quận 2, Thành Phố Hồ Chí Minh"
32,Year End Party: Dear Agony,Từ 300.000 VND,Hồ Chí Minh,Nhạc sống,Tháng 1,09                                      Thứ 5,07:00 PM - 11:30 PM,"Lela Saigon Bar
138 Lê Lai, Quận 1, Thành Phố Hồ Chí Minh"
33,Kasho Club - Exclusive Package for Ticketbox,Từ 5.900.000 VND,Hồ Chí Minh,Nightlife,Tháng 1,,"Thứ 7, 04 Tháng 1 2020 - Chủ nhật, 05 Tháng 1 2020 (10:00 PM - 03:00 AM)","Kasho Club
99 Nguyễn Thị Minh Khai, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh, Quận 1, Thành Phố Hồ Chí Minh"
34,Atmos Club - Exclusive Package for Ticketbox,Từ 5.900.000 VND,Hồ Chí Minh,Nightlife,Tháng 1,,"Thứ 7, 04 Tháng 1 2020 - Chủ nhật, 05 Tháng 1 2020 (10:00 PM - 03:00 AM)","Atmos Club
153 Tôn Thất Đạm, Quận 1, Thành Phố Hồ Chí Minh"
35,Workshop: Thiết Lập Mục Tiêu 2020,Từ 0 VND,Hồ Chí Minh,Hội thảo,Tháng 1,05                                      Chủ nhật,08:00 AM - 08:00 PM,"Trung Tâm Hội Nghị Happy Gold
650 Lũy Bán Bích, P. Tân Thạnh, Quận Tân Phú, Thành Phố Hồ Chí Minh"
